post_id,NEGATIVE,POSITIVE,UNKNOWN,total_comments,positive_ratio,helpful_comments,support_score
"# **5 Effective Prompts to Improve Student Vocabulary (Free Solution)**

Hi teachers. Here’s how I spark student engagement to build a stronger vocabulary by using these actionable prompts.

The Template - https://www.aiforteachers.ai/prompts/improve-student-vocabulary/ 

**Here's how to do it:**

**1. Connect Vocabulary to Real-Life Scenarios**

**Prompt:** “You are an experienced teacher. How can you connect the [word] to real-life scenarios?”

**Example:**

• Ask students to describe a time they showed “empathy” in a journal entry.

• Have students find examples of “empathy” in their favorite TV shows or books.

**Why It Works:** This helps students see the relevance of new words in everyday life, making them memorable and meaningful.

**2. Make Vocabulary Fun with Interactive Activities**

**Prompt:** “What classroom activities can make the [word] fun and interactive?”

**Example:**

• Role-play scenarios to demonstrate “resilience.”

• Group projects, like writing a play titled *The Resilient Hero,* incorporating synonyms such as “determined.”

**Why It Works:** Interactive, hands-on tasks help students internalize vocabulary through experiences and teamwork.

**3. Use Technology to Teach Vocabulary**

**Prompt:** “What tech tools can enhance learning this [word]?”

**Example:**

• Create flashcards for words like “biodiversity” using Quizlet.

• Design Canva posters explaining “climate change” and its vocabulary.

**Why It Works:** Digital tools engage tech-savvy students and make complex concepts more accessible.

**4. Reinforce Vocabulary Through Writing Assignments**

**Prompt:** “How can writing assignments reinforce this [word]?”

**Example:**

• Write a personal narrative about setting an “ambitious” goal.

• Craft a persuasive essay on why “ambition” is crucial for success.

**Why It Works:** Writing puts vocabulary into context, encouraging deeper reflection and retention.

**5. Collaborate to Deepen Understanding**

**Prompt:** “How can collaboration improve understanding of this [word]?”

**Example:**

• Pair students to create and solve crossword puzzles with words like “synergy.”

• Host small-group discussions using new vocabulary in leadership roles.

**Why It Works:** Social interaction helps students actively use vocabulary, boosting retention and confidence.

**Why These Prompts Work**

These prompts:

• Integrate targeted vocabulary into practical tasks.

• Engage diverse learning styles through play, tech, and collaboration.

• Reinforce the relevance of words in real-life contexts.

AI Tools - https://www.aiforteachers.ai

Full Prompt Gallery - https://www.aiforteachers.ai/prompts/

👩‍🔬 Found this helpful? Let me know. Happy to provide more guides. Just let me know what you are looking to achieve.",0.0,1.0,0.0,1.0,1.0,0,0.0
"# **70,000 students are already using AI textbooks**

Here's a fascinating read on how 70,000 students are already using AI textbooks. Pearson's new textbooks include a general chatbot for answering questions about the subject and generative AI in practice questions. 

When students get a question wrong, the AI guides them through additional questions to help them find the right answer. This new approach is changing the way students learn.

What do you think?

",0.0,1.0,0.0,1.0,1.0,0,0.0
"# **8 Thanksgiving AI Project Ideas with ChatGPT (Free Ideas)**

Hi teachers. Here’s how you can use ChatGPT to inspire Thanksgiving creativity in the classroom while encouraging students to think independently. What Thanksgiving projects do you have planned?

The Template -  https://www.aiforteachers.ai/prompts/8-thanksgiving-ai-prompt-projects-for-students/

Project Ideas:

**1. “Thankful for the Little Things”**

**ChatGPT Prompt:** “List small, everyday things people often forget to appreciate.”

After sharing ChatGPT’s list, ask students to add their own ideas without repeating any items. This encourages them to think more deeply and personally about gratitude.

**2. “Create a Thanksgiving Superhero”**

**ChatGPT Prompt:** “Imagine a superhero who spreads gratitude during Thanksgiving. Describe their superpowers and mission.”

Challenge students to expand on ChatGPT’s response or create a completely new superhero with a unique mission that no one else would think of.

**3. “If a Turkey Could Talk…”**

**ChatGPT Prompt:** “Write a funny story from a turkey’s point of view during Thanksgiving.”

Read ChatGPT’s story as a fun starting point, then encourage students to write or perform their own unique version, imagining the turkey’s feelings, plans, and quirks.

**4. “A Recipe for Gratitude”**

**ChatGPT Prompt:** “Create a whimsical ‘recipe’ for gratitude, listing ingredients like love, family, kindness, etc.”

Have students personalize their recipes with “ingredients” that are unique to them, adding why each one is important.

**5. “Friendsgiving Invitations”**

**ChatGPT Prompt:** “Create a Thanksgiving dinner invitation for historical figures, animals, or book characters.”

Share ChatGPT’s invitation idea, then challenge students to create their own, choosing one guest they would personally invite and explaining why.

**6. “The Mystery of the Missing Mashed Potatoes”**

**ChatGPT Prompt:** “Write a funny mystery starter about missing mashed potatoes at Thanksgiving.”

⭐️ The Template -

https://www.aiforteachers.ai/prompts/8-thanksgiving-ai-prompt-projects-for-students/

**How to Encourage Critical Thinking (Without Relying 100% on ChatGPT)**

**1. Prompt for Personal Ideas:**

Ask students to personalize their responses with their own experiences or interests.

**2. Add “What If” Scenarios:**

Encourage students to build on ChatGPT’s ideas with “what if” questions or additional twists.

**3. Promote Original Thought:**

After reading ChatGPT’s output, ask students to critique or expand on it, promoting analytical thinking and independence.

🌟 **Which Thanksgiving prompt is your favorite?**

👩‍🔬 Did you find the helpful? I would love to hear your feedback.🙂

⭐️ The Template -

https://www.aiforteachers.ai/prompts/8-thanksgiving-ai-prompt-projects-for-students/

#teachersupport #teachersday",0.0,2.0,0.0,2.0,1.0,0,0.0
"# **AI Ethics Presentation Download For Teachers (Free Download)**

Hi teachers. Here's a useful presentation template I used to educate my students on the importance of AI responsibility.

[https://www.kangaroos.ai/blog/free-ai-ethics-presentation-for-teachers/](https://www.kangaroos.ai/blog/free-ai-ethics-presentation-for-teachers/)",0.0,1.0,0.0,1.0,1.0,0,0.0
"# **AI Learning Center for Teachers (2025)**

This learning hub offers practical tips and real-world examples to help teachers effectively learn about AI.

Free AI Credits - https://www.aiforteachers.ai

Learning Center - https://www.kangaroos.ai/learn/",1.0,0.0,0.0,1.0,0.0,0,0.0
"# **ChatGPT Advanced Voice Mode Demo for Language Learners**

I'm very excited for this, anyone else? Hopefully will have access soon. :) 

",0.0,1.0,0.0,1.0,1.0,0,0.0
"# **ChatGPT Windows Desktop App is Available for Early Access Testing**

Hi teachers. ChatGPT launched early access to their Windows Desktop app for testing.

**Who Can Test It:** If you're a ChatGPT Plus, Enterprise, Team, or Edu user, you're eligible to start testing today.

**Key Feature:** Use the Alt + Space shortcut to instantly access ChatGPT on your Windows PC, making it more convenient.

**Launch Timeline:** The full version will be available to all Windows users later this year.

**ChatGPT PC Version** - https://apps.microsoft.com/detail/9nt1r1c2hh7j?hl=en-us&gl=US

🌟 How do you plan to use ChatGPT’s desktop app in your teaching workflow?",1.0,1.0,0.0,2.0,0.5,0,0.0
"# **ChatGPT launched ChatGPT search today to waitlist users**

If you signed up to ChatGPTs search waitlist you should now have access to it.

You can access it from your ChatGPT dashboard.

**To Learn More From ChatGPT Visit **-

https://openai.com/index/introducing-chatgpt-search/

How does everyone plan to use ChatGPT search?",1.0,0.0,0.0,1.0,0.0,0,0.0
"# **Claude 3.5 or ChatGPT for Teachers? (Comparison)**

Here's a comparison of Claude 3.5 and ChatGPT. Which one do you prefer?

",0.0,3.0,0.0,3.0,1.0,0,0.0
"# **Claude or ChatGPT? Which AI Tool is Best for Teachers? (Share Your Favorite)**

Deciding between Claude 3.5 and ChatGPT for educational use? Here’s a detailed comparison to help you choose the best AI tool for your classroom:
## **Claude 3.5:**
* **Customization:** Highly customizable, making it easy to tailor responses to specific educational needs.
* **Ethical Focus:** Prioritizes safety and ethical considerations, ensuring responsible use in the classroom.
* **User-Friendly:** Designed to be straightforward and intuitive for teachers.
## **ChatGPT:**
* **Versatility:** Excels in generating diverse language outputs, suitable for a wide range of educational applications.
* **Community Support:** Strong backing from an active community, providing extensive resources and shared experiences.
* **Interactive Features:** Effective in facilitating engaging dialogues and interactive learning experiences.

**Key Differences:**
* **Customization vs. Versatility:** Claude offers more straightforward customization, while ChatGPT provides versatile responses.
* **Support and Resources:** ChatGPT benefits from a larger community, offering broader support and shared educational strategies.

Join the conversation below. What do you use? Personally, I use both for rubric creation and lesson planning.

Full Breakdown: https://www.kangaroos.ai/blog/claude-vs-chatgpt-which-ai-tool-best-for-teachers/",6.0,4.0,0.0,10.0,0.4,0,0.0
"# **Creative Holiday Assignment with ChatGPT (Step-by-Step)**

Hi teachers! Here’s a holiday-themed assignment I came up with for using ChatGPT to spark creativity and critical writing in your students.
The Template - https://docs.google.com/document/d/1IB6k6QMMM-RT4n83Nvjrb-O2tanfB2VP/edit?usp=sharing&ouid=117050595176553643680&rtpof=true&sd=true

**Here's how I did it:**
## LEARNING OBJECTIVE:

Students will use ChatGPT to develop an original, holiday-themed mythical creature, honing their descriptive writing and creative thinking skills.

## PROMPT TO START THE ASSIGNMENT:

""Create a magical holiday creature that embodies the spirit of the festive season. What does it look like? Does it shimmer like snowflakes or glow like string lights? How does it move—by gliding through frosty air, burrowing through snowy fields, or jingling with holiday bells? What special powers or abilities make it bring holiday cheer? Think about your favorite holiday traditions, memories, or feelings and use them to shape your creature. Start crafting it with these ideas in mind, blending fantasy with your holiday experiences. Ask follow-up questions to help me effectively brainstorm.""

## STEPS TO INTEGRATE CHATGPT THOUGHTFULLY:
1. **Brainstorming with ChatGPT**: Students can use ChatGPT to brainstorm festive ideas if they feel stuck. ChatGPT can suggest holiday-themed characteristics like snow-covered wings, candy cane antlers, or magical gift-wrapping powers. Encourage students to explore creative environments like enchanted forests lit by lanterns or hidden ice palaces.
2. **Personalization through Critical Thinking**: After brainstorming, students should think critically about how their holiday creature connects to their own experiences.   **Ask:** ""What makes the holiday season special for you?""   **Encourage connections like:** ""How can your creature’s abilities reflect your favorite holiday tradition or a cherished memory?""
3. **Building Descriptions Without AI**: Students can then translate their ideas into a detailed description of their creature. Focus on sensory details: What does their creature smell like (gingerbread, pine, or peppermint)? What sounds accompany it (jingling bells or crackling fires)? How does it interact with its holiday environment?
4. **Tying the Creature to Their Holiday Memories**: Encourage students to include a short backstory explaining how their creature’s role or purpose is influenced by their favorite holiday experiences.

## STUDENT EXAMPLE:

**The ""Glowling Elfdeer""**A glowing deer-like creature with shimmering antlers strung with magical golden lights that never dim. The Elfdeer’s hooves jingle softly as it walks, spreading joy and warmth in the coldest of winters. It appears when families gather to celebrate, delivering tiny stars that light up their homes with holiday cheer. The student who created this creature said it was inspired by the feeling of sitting around the fireplace with family and the magic of decorating their home during the holidays.

## ASSIGNMENT DESCRIPTION:

**Create Your Holiday Creature:**In this assignment, you’ll design a mythical creature that represents the holiday spirit.
* Brainstorm with ChatGPT for inspiration.
* Imagine your creature’s environment, appearance, powers, and purpose in its world.
* Personalize it by reflecting on how your creature connects to your holiday traditions, memories, or feelings.
* Write a detailed description that brings your festive creature to life!
* 
## ASSESSMENT TIPS:
1. **Encourage originality**: Have students write a short reflection on how their creature relates to their holiday experiences or personal traditions.
2. **Focus on details**: Evaluate their use of descriptive language and how well their creature captures the magic of the holiday season.
3. **Bring the creature to life visually**: Take it further by generating holiday-themed artwork of their creature using tools like Canva or an image generator.

The Template - https://docs.google.com/document/d/1IB6k6QMMM-RT4n83Nvjrb-O2tanfB2VP/edit?usp=sharing&ouid=117050595176553643680&rtpof=true&sd=true

👩‍🔬 Found this helpful? Let me know so I can continue to share more ideas. 🙂 Happy holidays!",0.0,1.0,0.0,1.0,1.0,0,0.0
"# **DeepMind’s new AI just won a silver medal at the 'math' Olympics**

This weekend, while the world focused on the Paris Olympics, a quieter but historic achievement unfolded at the International Mathematical Olympiad (IMO). Google DeepMind's AI systems, AlphaProof and AlphaGeometry 2, earned a silver medal performance.

Learn more:

https://deepmind.google/discover/blog/ai-solves-imo-problems-at-silver-medal-level/
## A HISTORIC ACHIEVEMENT

These AI systems tackled six challenging math problems, scoring an impressive 28 out of 42 points—just one point shy of gold. They even solved the most difficult problem, which only five human contestants managed to crack.
## UNMATCHED SPEED AND PRECISION

While human contestants had about 9 hours, the AI solved one problem in under 19 seconds but took up to 3 days for others.

What do you think about this data?
## READ MORE

Read more about this groundbreaking achievement: https://deepmind.google/discover/blog/ai-solves-imo-problems-at-silver-medal-level/",0.0,1.0,0.0,1.0,1.0,0,0.0
"# **Discover What ChatGPT Thinks About You.**🤔

Here's the prompt I used:

**""Based on what you know about me, what subject do you think I teach, and what are my greatest strengths as an educator?""**

Here's how I did it:
1. Open ChatGPT and paste the prompt.
2. Provide any additional context about your teaching background (optional).
3. Reflect on the response—does it align with how you see yourself?

🌟 How did ChatGPT describe you? Did it nail your teaching strengths or surprise you? Let’s share insights and reactions!",2.0,6.0,0.0,8.0,0.75,1,0.125
"# **Free AI Ethics Presentation Download For Teachers**

Hi teachers. Here's a useful presentation template I used to educate my students on the importance of AI responsibility.

",0.0,1.0,0.0,1.0,1.0,0,0.0
"# **Free Solution How to Create a Classroom Seating Chart with ChatGPT (Practice)**

Hi teachers. I wanted to share a method I used to create a seating chart for my classroom using ChatGPT. Feel free to do it just for practice:
## 1. PREPARE YOUR STUDENT LIST

First, I prepared a list of my students' names in a simple text file. For privacy, I used first names only. Here’s an example of what my list looked like:

Alice, Bob, Charlie, Dana, Eve, Frank, Grace, Hank, Ivy, Jack, Luna, Mason, Nina, Oscar, Paul, Quincy, Rachel, Sam, Tina, Uma
## 2. DESCRIBE YOUR CLASSROOM LAYOUT

Next, I provided ChatGPT with details about my classroom setup, such as the number of rows and columns, and any special seating requirements. This is what my description included:

Classroom Layout:
* Rows: 5
* Columns: 4

Special Seating Requirements:
1. Alice needs to sit near the front due to vision issues.
1. Bob and Charlie work well together, place them in the same row.
1. Dana needs a quiet corner due to concentration difficulties.
1. Eve and Frank should not be seated next to each other.
1. Grace requires a seat close to the door for easy access.
1. Hank prefers to sit in the back.
## 3. INPUT STUDENT PREFERENCES

I made sure to include any specific seating preferences, like group work or special needs, to ensure the seating arrangement catered to everyone’s needs.
## 4. GENERATE THE SEATING CHART

I then asked ChatGPT to create a seating chart based on the provided information and the student names. My request looked something like this:

**Example Prompt:**

""ChatGPT, please arrange my students in a 5x4 seating chart considering the following preferences:

Classroom Layout: Rows: 5, Columns: 4

Special Seating Requirements:
1. Alice needs to sit near the front due to vision issues.
1. Bob and Charlie work well together, place them in the same row.
1. Dana needs a quiet corner due to concentration difficulties.
1. Eve and Frank should not be seated next to each other.
1. Grace requires a seat close to the door for easy access.
1. Hank prefers to sit in the back."" + the attached file.
## 5. REVIEW AND ADJUST

After receiving the seating chart from ChatGPT, I reviewed it to ensure it fit my needs. I also had the option to export the final seating chart as a PDF or Excel document for easy access and sharing.
## 6. CUSTOM GPT FOR DOCUMENT UPLOADS

If you’re looking to automate this even further, you can create a custom GPT in ChatGPT (or Claude) with specific instructions on what to do with an uploaded document.
## FINAL THOUGHTS

If you need help with anything else, feel free to post it to the group.🙂  Good luck! - Diana",3.0,4.0,0.0,7.0,0.5714285714285714,0,0.0
"# **Free Solution to Create a Grading Rubric with ChatGPT (Inspiration)**

HI teachers. Here's how I created a grading rubric in ChatGPT with a useful template. I've outlined the exact steps I took below:

The template - https://www.kangaroos.ai/blog/how-to-create-an-ai-grading-rubric-with-chatgpt/

Here’s how I did it:
## 1. DEFINE YOUR GRADING CRITERIA

Start by determining what you want to assess. Clear criteria make for a transparent rubric.

**Prompt: ***""Help me create grading criteria for [assignment type], focusing on key aspects like content accuracy, structure, and creativity.""*

**Why:** Ensures all critical aspects of the assignment are evaluated.

## 2. ESTABLISH PERFORMANCE LEVELS

Identify performance levels such as Excellent, Good, Fair, and Poor.

**Prompt: ***""Define performance levels for each criterion, specifying what differentiates an Excellent from a Good performance.""*

**Why:** Provides a clear framework for distinguishing between varying levels of student performance.

## 3. DEVELOP DETAILED DESCRIPTORS FOR EACH LEVEL

Ask ChatGPT to detail what each level looks like for every criterion.

**Prompt: ***""Describe what 'Excellent,' 'Good,' 'Fair,' and 'Poor' performances look like for content accuracy in this assignment.""*

**Why:** Detailed descriptors eliminate ambiguity, helping both teachers and students understand expectations.

## 4. EXPORT THE RUBRIC AS A FILE

Once your rubric is ready, ask ChatGPT to export it.

**Prompt: ** *""Export this grading rubric as a Word document and a PDF file.""*

**Why:** Provides easy-to-share formats for your rubric, making it accessible for both you and your students.

👩‍🔬 Found this helpful? What would you like a template on next?

The template - https://www.kangaroos.ai/blog/how-to-create-an-ai-grading-rubric-with-chatgpt/",4.0,0.0,0.0,4.0,0.0,0,0.0
"# **Free Solution to Create a Grading Rubric with ChatGPT (Inspiration)**

HI teachers. Here's how I created a grading rubric in ChatGPT with a useful template. I've outlined the exact steps I took below:

The template - https://www.kangaroos.ai/blog/how-to-create-an-ai-grading-rubric-with-chatgpt/

Here’s how I did it:
## 1. DEFINE YOUR GRADING CRITERIA

Start by determining what you want to assess. Clear criteria make for a transparent rubric.

**Prompt: ***""Help me create grading criteria for [assignment type], focusing on key aspects like content accuracy, structure, and creativity.""* 

**Why:** Ensures all critical aspects of the assignment are evaluated.

## 2. ESTABLISH PERFORMANCE LEVELS

Identify performance levels such as Excellent, Good, Fair, and Poor.

**Prompt: ***""Define performance levels for each criterion, specifying what differentiates an Excellent from a Good performance.""* 

**Why:** Provides a clear framework for distinguishing between varying levels of student performance.

## 3. DEVELOP DETAILED DESCRIPTORS FOR EACH LEVEL

Ask ChatGPT to detail what each level looks like for every criterion.

**Prompt: ***""Describe what 'Excellent,' 'Good,' 'Fair,' and 'Poor' performances look like for content accuracy in this assignment.""* 

**Why:** Detailed descriptors eliminate ambiguity, helping both teachers and students understand expectations.

## 4. EXPORT THE RUBRIC AS A FILE

Once your rubric is ready, ask ChatGPT to export it.

**Prompt: ** *""Export this grading rubric as a Word document and a PDF file.""* 

**Why:** Provides easy-to-share formats for your rubric, making it accessible for both you and your students.

👩‍🔬 Found this helpful? What would you like a template on next?

The template - https://www.kangaroos.ai/blog/how-to-create-an-ai-grading-rubric-with-chatgpt/",1.0,3.0,0.0,4.0,0.75,0,0.0
"# **Free Solution to Create a Lesson Plan in ChatGPT (Practice)**

Here are tips for creating lesson plans for the school year with ChatGPT. By breaking it down into manageable units I was able to focus on differentiating learning objectives.

Template - https://www.aiforteachers.ai/blog/how-to-create-lesson-plans-with-chatgpt/

AI Tools - https://www.aiforteachers.ai

**Step 1: Identify Your Teaching Goals**

To get the best results from ChatGPT, start by defining:
* **Your Role:** What type of teacher are you?
* **The Subject**: What topic are you teaching?
* **Grade Level**: Specify the age or skill level of your students.
* **Learning Objectives**: What should students know or be able to do by the end of the lesson?
* **Time Duration**: How long do you have for the lesson?

## **Example Goals:**
* **Topic**: The Solar System
* **Grade Level**: 6th Grade
* **Learning Objective**: Students will name and describe the planets in the solar system.
* **Duration**: 50 minutes

## **Step 2: Create a Detailed ChatGPT Prompt**

The key to a great lesson plan is writing a specific prompt. The more information you provide, the more tailored the result will be.

## **Sample Prompt:**
> “You are an experienced teacher, teaching science. Create a 50-minute lesson plan on the solar system for 6th-grade science. Include an introduction, interactive activities, and a short assessment.”

## **Step 3: Review and Optimize the Generated Lesson Plan**

ChatGPT will generate a detailed outline based on your input. Review it and make necessary adjustments:
* Check for alignment with your objectives.
* Ask for modifications if needed.

## **Sample Refinement:**
> “Add a hands-on activity using household items to explain the concept of planetary orbits.”

## **Step 4: Customize for Your Classroom**

Every classroom is different. Use ChatGPT  to adapt the plan based on your students’ needs. Examples include:
* Simplifying content for younger students.
* Adding extension tasks for advanced learners.
* Suggesting modifications for students with disabilities.

## **Step 5: Generate Additional Teaching Materials**

ChatGPT doesn’t just stop at lesson planning. It can also help create supplementary materials like:
* Quizzes
* Worksheets
* Homework assignments
* Discussion questions

## **Example Prompt for Worksheets:**
> “Create a worksheet with 5 multiple-choice questions and 2 short-answer questions about the solar system.”

The Template - https://www.aiforteachers.ai/blog/how-to-create-lesson-plans-with-chatgpt/

Free Tool - https://www.aiforteachers.ai/ai-tools/ai-lesson-planner/

👩‍🔬 Found this helpful? Let me know. Happy to provide more guides. Just let me know what you are looking to achieve.",1.0,5.0,0.0,6.0,0.8333333333333334,0,0.0
"# **Free Solution to Create a Yearly Lesson Plan (Practice)**

Here's how I created a lesson plan for the school year. By breaking it down into manageable units I was able to focus on differentiating learning objectives.

The Template - https://bit.ly/yearly-lesson-plan

Here's how I made my yearly plan:
## 1. DEFINE YOUR LEARNING OBJECTIVES

Identify your key learning objectives for the year and break them down into monthly goals. This sets a clear roadmap for what needs to be covered in each unit.

**Prompt:**""You are skilled at creating yearly lesson plans for [education level]. List the key learning objectives for [subject] over the school year and break them into monthly goals.""

## 2. STRUCTURE YOUR UNITS

Design each unit to cover the monthly goals across four double periods. Typically, each unit might include:
* **Introduction of new concepts** (Period 1)
* **Practice and reinforcement** (Period 2)
* **Application and project work** (Period 3)
* **Review and assessment** (Period 4)

**Prompt:**""Now, create a lesson plan outline for four double periods that includes introduction, practice, application, and review.""

## 3. DIFFERENTIATE TASKS FOR FASTER STUDENTS

Keep faster students engaged with challenging tasks like advanced projects, peer teaching, or creative assignments.

**Prompt:**""Generate a list of extension activities for students who quickly master [topic].""

## 4. SUPPORT FOR SLOWER STUDENTS

Provide additional support through simplified tasks, step-by-step guides, extra practice sessions, and one-on-one help.

**Prompt:**""What strategies can I use to support students who struggle with [topic]? Create a list of step-by-step tasks and extra practice ideas.""

## 5. REVIEW AND ADJUST

Regularly assess student progress and adjust your plans accordingly to meet the diverse needs of your classroom.

**Prompt:**""How can I assess student progress in [subject]? Suggest ways to adjust my lesson plan based on varying student needs.""

👩‍🔬 Found this helpful? Let me know. What would you like a helpful template on next?",2.0,3.0,0.0,5.0,0.6,0,0.0
